Account ID,Industry,Vertical, Total BRR , AnnualRevenue ,NumberOfEmployees, DandB Revenue ,DandB Total Employees
Acct-000153,Telecommunications,Regional Carrier/ISP," $27,152.00 ", $-   ,48, $-   ,50
Acct-000434,Energy & Manufacturing,Manufacturing - Other," $27,110.00 ", $-   ,0, $-   ,0
Acct-000137,Telecommunications,RLEC," $27,067.00 "," $5,716,400.00 ",55," $6,213,871.55 ",49
Acct-003469,Media & Content,Media," $26,871.00 "," $160,525,330.93 ",720," $176,577,864.48 ",720
Acct-000089,Telecommunications,Wireless," $26,556.76 ", $-   ,0, $-   ,0
Acct-001020,Healthcare,Health Insurance," $26,252.13 ", $-   ,29000, $-   ,0
Acct-000282,Telecommunications,National Carrier/ISP," $26,166.00 "," $34,068,014.33 ",109," $37,212,463.98 ",109
Acct-000604,Finance,Finance - Other," $26,159.00 "," $3,894,067.92 ",16," $3,894,067.92 ",17
Acct-000499,IT Infrastructure,Colo/Hosting," $26,058.00 "," $32,270,000.00 ",31," $32,270,000.00 ",31
Acct-002225,Media & Content,Internet Content & Software," $25,978.00 "," $4,333,400.00 ",32," $5,679,886.03 ",32
Acct-003166,Government,Systems Integrators - Government," $25,959.00 "," $3,581,970,000.00 ",13000," $3,978,430,000.00 ",15000
Acct-000164,Telecommunications,National Carrier/ISP," $25,947.75 ", $-   ,0, $-   ,0
Acct-000076,Telecommunications,National Carrier/ISP," $25,914.00 "," $416,625,608.75 ",253," $320,710,253.93 ",449
Acct-000078,Telecommunications,Regional Carrier/ISP," $25,902.76 ", $-   ,0, $-   ,0
Acct-001367,Professional Services,Legal," $25,695.00 ", $-   ,0, $-   ,0
Acct-001640,Professional Services,Commercial Systems Integrator," $25,638.00 "," $65,462.00 ",2," $65,462.00 ",2
Acct-001522,IT Infrastructure,Colo/Hosting," $25,625.00 "," $112,083,216.74 ",200," $85,862,391.44 ",200
Acct-000953,Telecommunications,Regional Carrier/ISP," $25,501.00 "," $1,198,600.00 ",10," $2,819,650.26 ",10
Acct-000152,Telecommunications,PTT," $25,488.00 "," $184,400,000.00 ",57," $184,400,000.00 ",150
Acct-001790,Telecommunications,Reseller," $25,455.00 ", $-   ,0, $-   ,0
Acct-002179,Healthcare,Healthcare - Other," $25,323.00 ", $-   ,0, $-   ,0
Acct-000567,Telecommunications,Regional Carrier/ISP," $25,004.00 "," $11,340,600.00 ",80," $34,167,497.21 ",80
Acct-002468,Other Industry,Non-Healthcare Insurance," $24,984.00 "," $1,045,923,603.44 ",2775," $1,045,923,603.44 ",2775
Acct-001856,Transportation & Logistics,Transportation - Other," $24,941.00 "," $77,375,593.50 ",300," $56,074,612.74 ",300
Acct-001503,Professional Services,Consulting / Other Professional Services," $24,848.00 "," $205,340,746.13 ",835," $248,462,303.50 ",835
Acct-000771,Finance,Finance - Other," $24,681.00 "," $195,346,906.00 ",181," $230,741,564.00 ",207
Acct-003552,Media & Content,Internet Content & Software," $24,571.00 "," $849,696,760.00 ",1812," $976,793,538.00 ",2016
Acct-002493,Energy & Manufacturing,Manufacturing - Other," $24,571.00 "," $11,010,626,418.53 ",26000," $12,750,825,819.14 ",26000
Acct-000047,Telecommunications,Reseller," $24,567.00 "," $6,915,000.00 ",15," $6,915,000.00 ",15
Acct-001101,IT Infrastructure,Colo/Hosting," $24,538.00 ", $-   ,0, $-   ,0
Acct-000288,Media & Content,Internet Content & Software," $24,440.07 ", $-   ,0, $-   ,0
Acct-000234,Telecommunications,Reseller," $24,296.00 ", $-   ,0, $-   ,0
Acct-003173,Other Industry,Hospitality," $24,287.00 "," $580,991,444.01 ",5400," $580,991,444.01 ",5400
Acct-000204,Telecommunications,National Carrier/ISP," $24,261.00 "," $251,880,304.10 ",2300, $-   ,0
Acct-000207,Professional Services,Commercial Systems Integrator," $24,241.00 ", $-   ,0, $-   ,0
Acct-000828,IT Infrastructure,Colo/Hosting," $24,196.00 "," $2,773,353,872.00 ",20000," $2,773,353,872.00 ",20000
Acct-000032,Telecommunications,PTT," $23,868.00 "," $1,248,400.91 ",5, $-   ,2
Acct-001023,Media & Content,Media," $23,743.00 "," $5,341,163,210.05 ",18700," $5,714,317,942.37 ",18700
Acct-001269,Media & Content,AdTech," $23,727.40 ", $-   ,0, $-   ,0
Acct-001616,Media & Content,Media," $23,717.00 "," $1,383,000.00 ",15," $2,170,171.33 ",15
Acct-000253,Telecommunications,Regional Carrier/ISP," $23,708.28 ", $-   ,0, $-   ,0
Acct-000563,Finance,Finance - Other," $23,697.40 ", $-   ,0, $-   ,0
Acct-001073,Media & Content,Internet Content & Software," $23,532.00 "," $117,131,545.68 ",2500," $117,131,545.68 ",2500
Acct-003615,Government,Federal Government," $23,459.00 ", $-   ,0, $-   ,0
Acct-002539,Media & Content,Internet Content & Software," $23,367.00 "," $1,295,776,034.00 ",6506," $1,295,776,034.00 ",6506
Acct-001939,Finance,Finance - Other," $23,335.00 "," $278,248,114.65 ",800," $326,529,939.13 ",800
Acct-002490,Research & Education,Higher Education," $23,326.00 "," $588,886,010.00 ",4620," $517,914,138.00 ",6960
Acct-001862,Professional Services,Consulting / Other Professional Services," $23,198.45 ", $-   ,0, $-   ,0
Acct-001139,Other Industry,Retail," $23,164.78 ", $-   ,0, $-   ,0
Acct-000438,Media & Content,Internet Content & Software," $23,114.00 "," $480,178,522.00 ",1216," $664,591,430.00 ",1608
Acct-002499,Finance,Finance - Other," $23,075.00 "," $62,003,748.57 ",85," $238,798,000.00 ",500
Acct-002545,Media & Content,Media," $23,022.00 "," $995,575,600.00 ",12500," $1,576,250,467.93 ",12500
Acct-002069,Healthcare,Healthcare - Other," $22,991.25 ", $-   ,0, $-   ,0
Acct-002426,Finance,Finance - Other," $22,949.00 "," $69,736,522.00 ",390," $69,736,522.00 ",390
Acct-003253,Energy & Manufacturing,Manufacturing - Other," $22,888.00 "," $2,948,884,232.00 ",10161," $3,730,435,050.00 ",13058
Acct-001299,Government,State/Local Government," $22,759.34 ", $-   ,0, $-   ,0
Acct-003513,Media & Content,Internet Content & Software," $22,584.00 "," $131,583,612.63 ",347," $155,195,956.10 ",347
Acct-000533,Telecommunications,Reseller," $22,482.00 ", $-   ,175, $-   ,175
Acct-001780,Media & Content,Internet Content & Software," $22,392.00 "," $2,029,690,800.00 ",6900," $2,029,690,800.00 ",6900
Acct-001046,Finance,Finance - Other," $22,309.00 "," $6,697,904.04 ",35," $6,697,904.04 ",35
Acct-000395,Media & Content,Media," $22,298.00 "," $7,606,009,035.00 ",29697," $5,660,397,088.43 ",29697
Acct-001231,Telecommunications,National Carrier/ISP," $22,270.92 ", $-   ,0, $-   ,0
Acct-000619,Finance,Finance - Other," $22,215.00 "," $5,169,838,400.00 ",10000," $5,055,971,400.00 ",10000
Acct-000414,Telecommunications,Regional Carrier/ISP," $22,148.14 ", $-   ,0, $-   ,0
Acct-000019,Telecommunications,National Carrier/ISP," $22,141.48 ", $-   ,0, $-   ,0
Acct-001614,Energy & Manufacturing,Manufacturing - Other," $22,141.00 "," $4,773,101,978.87 ",100," $1,348,064,980.21 ",1053
Acct-000842,Telecommunications,RLEC," $22,066.00 "," $85,006,737.63 ",81," $85,384,631.32 ",81
Acct-000772,Media & Content,AdTech," $21,920.00 "," $138,300.00 ",3," $27,549,405.18 ",95
Acct-000826,Other Industry,Transportation," $21,793.00 "," $87,590.00 ",2," $87,590.00 ",2
Acct-001839,Professional Services,Legal," $21,785.00 "," $6,802,645.08 ",40," $6,802,645.08 ",40
Acct-002436,Other Industry,Hospitality," $21,737.00 "," $5,313,486,000.00 ",188000," $5,313,486,000.00 ",188000
Acct-000946,Energy & Manufacturing,Manufacturing - Other," $21,728.00 "," $14,144,998,534.00 ",39000," $14,088,200,568.00 ",39600
Acct-000645,Media & Content,Internet Content & Software," $21,641.00 "," $12,908,000.00 ",100," $24,940,638.45 ",100
Acct-003092,Media & Content,Internet Content & Software," $21,599.00 "," $64,549,220.00 ",1100," $93,462,218.00 ",1226
Acct-000899,Media & Content,Media," $21,569.00 "," $24,801,800.00 ",408," $170,183,531.71 ",408
Acct-000658,IT Infrastructure,Colo/Hosting," $21,509.00 ", $-   ,0, $-   ,0
Acct-002507,Finance,Finance - Other," $21,461.00 "," $118,938,000.00 ",1200," $655,176,923.04 ",1200
Acct-000306,Professional Services,Consulting / Other Professional Services," $21,443.00 "," $76,548,667.37 ",324," $83,715,365.99 ",324
Acct-003146,Telecommunications,Wireless," $21,413.00 "," $30,459,333.07 ",151," $25,728,431.21 ",154
Acct-001998,Media & Content,Internet Content & Software," $21,399.00 ", $-   ,0, $-   ,0
Acct-003263,Professional Services,Legal," $21,384.05 ", $-   ,0, $-   ,0
Acct-000277,Professional Services,Consulting / Other Professional Services," $21,287.00 "," $192,063,411.37 ",592," $189,636,138.50 ",603
Acct-003313,Professional Services,Consulting / Other Professional Services," $21,256.66 ", $-   ,0, $-   ,0
Acct-000448,Telecommunications,Regional Carrier/ISP," $21,182.00 "," $5,453,032.54 ",45," $6,598,169.45 ",45
Acct-003590,Other Industry,Non-Healthcare Insurance," $21,043.00 "," $868,704,836.47 ",600," $868,704,836.47 ",600
Acct-001515,Professional Services,Legal," $21,028.00 "," $68,052,892.84 ",520," $90,380,265.20 ",520
Acct-001053,Telecommunications,Regional Carrier/ISP," $21,017.46 ", $-   ,0, $-   ,0
Acct-002296,IT Infrastructure,Colo/Hosting," $21,016.00 ", $-   ,0, $-   ,0
Acct-000541,Research & Education,K-12 Education," $21,002.00 ", $-   ,0, $-   ,0
Acct-002671,Energy & Manufacturing,Oil & Gas," $20,902.00 "," $32,606,974.40 ",53," $29,052,813.77 ",53
Acct-001270,Professional Services,Consulting / Other Professional Services," $20,746.00 "," $39,185,000.00 ",250," $33,841,632.90 ",250
Acct-001916,Telecommunications,Regional Carrier/ISP," $20,661.00 "," $74,436,567.29 ",170," $74,436,567.29 ",170
Acct-002026,Healthcare,Healthcare - Other," $20,618.00 ", $-   ,0, $-   ,0
Acct-001415,Media & Content,Internet Content & Software," $20,593.92 ", $-   ,0, $-   ,0
Acct-003172,Healthcare,Health Insurance," $20,507.00 "," $245,507,223.43 ",140," $245,507,223.43 ",140
Acct-003199,Media & Content,Internet Content & Software," $20,445.10 ", $-   ,0, $-   ,0
Acct-002197,Finance,Finance - Other," $20,310.00 "," $848,548,870.00 ",6639," $1,039,178,824.00 ",8375
Acct-001071,Telecommunications,Wireless," $20,306.00 ", $-   ,0, $-   ,0
Acct-000684,Media & Content,Internet Content & Software," $20,303.00 "," $22,964,083.43 ",100," $24,316,800.34 ",100
Acct-001822,Professional Services,Commercial Systems Integrator," $20,279.14 ", $-   ,0, $-   ,0
Acct-002279,Media & Content,Internet Content & Software," $20,222.00 "," $10,515,489.29 ",70," $8,713,303.84 ",70
Acct-000794,Telecommunications,Regional Carrier/ISP," $20,134.00 "," $1,298,052.45 ",7," $1,246,174.28 ",7
Acct-002068,Other Industry,Retail," $20,071.00 ", $-   ,0, $-   ,0
Acct-001001,Media & Content,Media," $19,992.00 "," $24,071,400.82 ",120," $24,071,400.82 ",120
Acct-000542,Telecommunications,Regional Carrier/ISP," $19,974.00 "," $1,383,000.00 ",39," $3,151,775.86 ",39
Acct-001545,Media & Content,Internet Content & Software," $19,959.00 "," $2,028,400.00 ",29," $3,367,322.87 ",29
Acct-002064,Media & Content,Internet Content & Software," $19,912.00 "," $87,091.20 ",7," $100,989.43 ",4
Acct-000592,Government,Systems Integrators - Government," $19,875.00 ", $-   ,0, $-   ,0
Acct-002431,Other Industry,Telecommunications Equipment Provider," $19,605.00 "," $4,266,186,200.00 ",8846," $4,478,891,600.00 ",9058
Acct-000672,IT Infrastructure,Cloud Service Provider," $19,568.00 "," $79,793,664.81 ",201," $19,638,600.00 ",201
Acct-003113,Research & Education,Research," $19,567.26 ", $-   ,0, $-   ,0
Acct-001540,Other Industry,Non-Healthcare Insurance," $19,533.00 "," $1,559,394,274.00 ",3000," $1,741,680,128.00 ",3000
Acct-003265,Finance,Finance - Other," $19,461.00 "," $434,262,000.00 ",291," $618,662,000.00 ",346
Acct-000497,Media & Content,Internet Content & Software," $19,284.00 "," $4,886,600.00 ",44," $26,570,821.12 ",44
Acct-000593,Professional Services,Consulting / Other Professional Services," $19,255.40 ", $-   ,0, $-   ,0
Acct-002015,Professional Services,Consulting / Other Professional Services," $19,198.00 ", $-   ,0, $-   ,0
Acct-000570,IT Infrastructure,Colo/Hosting," $19,166.00 "," $21,667,000.00 ",335," $101,716,885.84 ",335
Acct-001353,IT Infrastructure,Colo/Hosting," $19,113.60 ", $-   ,0, $-   ,0
Acct-000759,IT Infrastructure,Colo/Hosting," $19,015.00 "," $4,056,800.00 ",57," $20,474,156.97 ",57
Acct-001233,Research & Education,K-12 Education," $19,000.00 ", $-   ,0, $-   ,0
Acct-002322,IT Infrastructure,Cloud Service Provider," $18,975.00 ", $-   ,0, $-   ,0
Acct-001770,Media & Content,Internet Content & Software," $18,919.10 ", $-   ,0, $-   ,0
Acct-002311,Professional Services,Consulting / Other Professional Services," $18,802.00 ", $-   ,0, $-   ,0
Acct-000517,Professional Services,Consulting / Other Professional Services," $18,792.19 ", $-   ,0, $-   ,0
Acct-001074,Other Industry,Transportation," $18,734.00 ", $-   ,0, $-   ,0
Acct-003262,Energy & Manufacturing,Utilities," $18,710.00 "," $27,150,134,000.00 ",29762," $27,150,134,000.00 ",29762
Acct-001235,Telecommunications,Wireless," $18,697.00 "," $3,513,771.50 ",17," $3,513,771.50 ",17
Acct-001980,Healthcare,Healthcare - Other," $18,658.42 ", $-   ,0, $-   ,0
Acct-000705,Media & Content,AdTech," $18,658.00 "," $7,019,923,600.00 ",49200," $7,019,923,600.00 ",49200
Acct-000279,Energy & Manufacturing,Manufacturing - Other," $18,616.00 "," $1,979,567,192.00 ",9449," $2,003,813,948.00 ",9766
Acct-001725,Energy & Manufacturing,Utilities," $18,352.00 "," $46,537,786.81 ",175," $54,123,798.12 ",175
Acct-000478,Finance,Finance - Other," $18,303.40 ", $-   ,0, $-   ,0
Acct-002211,Professional Services,Engineering," $18,277.00 "," $49,880,200.00 ",488," $162,375,552.59 ",488
Acct-001437,Telecommunications,Wireless," $18,150.00 "," $19,328,979.49 ",8," $9,255,482.25 ",8
Acct-001972,Finance,Finance - Other," $18,119.00 ", $-   ,0, $-   ,0
Acct-001480,Media & Content,Media," $18,000.00 ", $-   ,0, $-   ,0
Acct-002429,Professional Services,Legal," $17,939.00 "," $84,363,000.00 ",1100," $218,368,663.30 ",1100
Acct-001039,Manufacturing,Consumer Goods," $17,875.25 ", $-   ,0, $-   ,0
Acct-000704,Telecommunications,Reseller," $17,848.00 "," $285,820.00 ",5," $1,257,070.47 ",13
Acct-000595,Other Industry,Retail," $17,833.00 "," $5,740,839,454.00 ",23000," $5,740,839,454.00 ",23000
Acct-000003,IT Infrastructure,Colo/Hosting," $17,803.00 "," $28,269,698.32 ",60," $41,282,917.88 ",300
Acct-003649,Healthcare,Health Insurance," $17,781.00 "," $144,852,654,000.00 ",200000," $144,852,654,000.00 ",200000
Acct-000136,Professional Services,Commercial Systems Integrator," $17,756.00 "," $3,897,906,969.57 ",26000," $4,136,460,800.00 ",26000
Acct-003177,Telecommunications,Reseller," $17,648.00 "," $66,883,788.54 ",425," $79,784,373.82 ",425
Acct-001391,Media & Content,Internet Content & Software," $17,644.00 "," $23,511,000.00 ",126," $1,168,282,796.00 ",1449
Acct-000614,Media & Content,Internet Content & Software," $17,600.00 ", $-   ,0, $-   ,0
Acct-001102,Research & Education,Higher Education," $17,557.00 "," $6,033,929,838.90 ",40000," $4,337,265,024.00 ",40000
Acct-002441,Other Industry,Retail," $17,474.00 ", $-   ,0, $-   ,0
Acct-003480,Energy & Manufacturing,Manufacturing - Other," $17,413.20 ", $-   ,0, $-   ,0
Acct-001050,Healthcare,Pharmaceuticals / BioTech," $17,276.00 ", $-   ,0, $-   ,0
Acct-000740,Telecommunications,National Carrier/ISP," $17,232.31 ", $-   ,0, $-   ,0
Acct-001103,Telecommunications,Regional Carrier/ISP," $17,178.00 "," $1,475,200.00 ",25," $1,196,149.32 ",25
Acct-002324,IT Infrastructure,Colo/Hosting," $17,143.00 ", $-   ,0, $-   ,0
Acct-000673,Media & Content,Gaming/eSports," $16,985.00 "," $4,316,349,454.00 ",9228," $4,619,220,000.00 ",6566
Acct-000353,Telecommunications,Regional Carrier/ISP," $16,870.59 ", $-   ,0, $-   ,0
Acct-000286,Telecommunications,Regional Carrier/ISP," $16,802.00 "," $31,079,366.08 ",75," $27,691,715.88 ",75
Acct-001842,Transportation & Logistics,Transportation - Other," $16,773.00 ", $-   ,0, $-   ,0
Acct-000807,Professional Services,Consulting / Other Professional Services," $16,692.00 "," $715,026,906.34 ",2599," $769,268,477.98 ",2599
Acct-001276,Research & Education,Higher Education," $16,647.00 "," $8,071,470.13 ",518," $7,264,322.75 ",518
Acct-000111,Telecommunications,Wireless," $16,546.00 "," $3,021,027.97 ",10," $2,718,925.45 ",10
Acct-000124,Telecommunications,Regional Carrier/ISP," $16,469.00 "," $11,064,000.00 ",72," $11,064,000.00 ",72
Acct-001457,Telecommunications,Regional Carrier/ISP," $16,464.00 ", $-   ,0, $-   ,0
Acct-002054,Media & Content,Internet Content & Software," $16,464.00 ", $-   ,0, $-   ,0
Acct-000454,Media & Content,Media," $16,452.00 "," $18,628,947.30 ",30," $18,628,947.30 ",30
Acct-000210,Professional Services,Consulting / Other Professional Services," $16,413.00 "," $92,200,000.00 ",1165," $223,346,297.89 ",1225
Acct-001646,Media & Content,Internet Content & Software," $16,313.40 ", $-   ,0, $-   ,0
Acct-000896,Media & Content,Media," $16,275.13 ", $-   ,0, $-   ,0
Acct-001687,Energy & Manufacturing,Oil & Gas," $16,179.85 ", $-   ,0, $-   ,0
Acct-003075,Energy & Manufacturing,Utilities," $16,152.00 "," $38,908,400.00 ",581," $408,327,357.04 ",581
Acct-003174,Other Industry,Real Estate / Construction," $16,098.00 "," $29,873,029.58 ",65," $29,873,029.58 ",65
Acct-001395,Media & Content,AdTech," $15,982.00 "," $197,348,038.77 ",420," $197,348,038.77 ",420
Acct-000770,Research & Education,Higher Education," $15,926.00 "," $1,977,854,355.72 ",12000," $1,944,526,048.16 ",12000
Acct-003214,IT Infrastructure,Cloud Service Provider," $15,862.00 "," $18,440,000,000.00 ",60000," $18,440,000,000.00 ",60000
Acct-001348,Professional Services,Consulting / Other Professional Services," $15,806.00 ", $-   ,0, $-   ,0
Acct-001390,Energy & Manufacturing,Manufacturing - Other," $15,755.34 ", $-   ,0, $-   ,0
Acct-000935,Telecommunications,Regional Carrier/ISP," $15,693.00 "," $57,777,905.40 ",185," $58,591,721.61 ",185
Acct-000287,IT Infrastructure,Cloud Service Provider," $15,624.00 ", $-   ,0, $-   ,0
Acct-001918,Professional Services,Commercial Systems Integrator," $15,591.00 "," $180,251.92 ",3," $180,251.92 ",3
Acct-000966,Other Industry,Retail," $15,573.24 ", $-   ,0, $-   ,0
Acct-001931,Telecommunications,Regional Carrier/ISP," $15,540.00 "," $1,452,764.97 ",9," $1,307,488.20 ",9
Acct-001507,Energy & Manufacturing,Oil & Gas," $15,471.00 "," $597,284,508.00 ",2923," $610,233,076.00 ",2803
Acct-000895,IT Infrastructure,Colo/Hosting," $15,442.00 "," $8,298,000.00 ",75," $23,104,124.17 ",75
Acct-000108,Media & Content,Internet Content & Software," $15,423.00 "," $68,517,047.00 ",200," $79,481,382.49 ",200
Acct-000452,Media & Content,Internet Content & Software," $15,317.00 "," $163,203,503.05 ",1300," $245,160,245.33 ",1470
Acct-002168,Professional Services,Commercial Systems Integrator," $15,299.00 "," $21,482,600.00 ",300," $77,133,268.85 ",300
Acct-003188,Finance,Finance - Other," $15,296.00 ", $-   ,0, $-   ,0
Acct-000791,Professional Services,Consulting / Other Professional Services," $15,293.00 "," $11,940,822,000.00 ",57000," $11,887,346,000.00 ",60000
Acct-002176,Finance,Insurance - Non-Healthcare," $15,286.00 "," $35,287,806.50 ",75," $35,287,806.50 ",75
Acct-001388,Energy & Manufacturing,Utilities," $15,252.00 ", $-   ,2477," $1,039,384,113.75 ",1500
Acct-000668,Media & Content,eCommerce," $15,239.00 ", $-   ,0, $-   ,0
Acct-001697,IT Infrastructure,Colo/Hosting," $15,223.00 "," $322,607,800.00 ",5001," $328,883,511.94 ",5001
Acct-001193,Telecommunications,Reseller," $15,209.00 "," $359,580.00 ",4," $1,065,218.87 ",4
Acct-003319,Media & Content,Internet Content & Software," $15,093.00 "," $3,865,024,000.00 ",7700," $4,327,868,000.00 ",7900
Acct-001788,Professional Services,Consulting / Other Professional Services," $15,061.00 "," $148,257,600.00 ",1927," $310,411,013.28 ",1927
Acct-001321,Energy & Manufacturing,Oil & Gas," $15,050.00 "," $11,428,098,447.24 ",16900," $18,024,217,498.48 ",16900
Acct-003270,Media & Content,Media," $15,038.00 "," $14,936,400.00 ",300," $135,547,090.56 ",300
Acct-000023,Other Industry,Transportation," $14,975.00 "," $253,918,800.00 ",2000," $575,703,251.23 ",2000
Acct-000225,Telecommunications,National Carrier/ISP," $14,863.00 "," $53,289,649.97 ",420," $61,560,561.61 ",420
Acct-003168,Professional Services,Legal," $14,854.00 "," $637,318,486.52 ",3280," $776,179,295.79 ",3280
Acct-003524,Media & Content,Cable & Satellite," $14,737.00 ", $-   ,106, $-   ,0
Acct-001471,Finance,Finance - Other," $14,688.00 "," $308,385,236.37 ",1800," $339,223,760.38 ",1800
Acct-000373,Telecommunications,PTT," $14,678.00 ", $-   ,0, $-   ,0
Acct-000854,Professional Services,Commercial Systems Integrator," $14,665.00 "," $2,766,000.00 ",11," $2,766,000.00 ",11
Acct-000367,Finance,Asset Management / Hedge Fund," $14,661.00 ", $-   ,0, $-   ,0
Acct-003003,Energy & Manufacturing,Manufacturing - Other," $14,656.10 ", $-   ,0, $-   ,0
Acct-001247,Telecommunications,Regional Carrier/ISP," $14,630.00 ", $-   ,2, $-   ,0
Acct-001008,Professional Services,Consulting / Other Professional Services," $14,618.00 "," $83,231,108.54 ",225," $64,584,087.27 ",255
Acct-001920,Professional Services,Consulting / Other Professional Services," $14,601.50 ", $-   ,0, $-   ,0
Acct-001729,Finance,Finance - Other," $14,473.00 ", $-   ,0, $-   ,0
Acct-000920,Professional Services,Legal," $14,465.00 "," $12,723,600.00 ",100," $15,570,322.02 ",100
Acct-001782,Professional Services,Consulting / Other Professional Services," $14,386.00 ", $-   ,0, $-   ,0
Acct-000482,Telecommunications,PTT," $14,304.08 ", $-   ,0, $-   ,0
Acct-001195,Telecommunications,Reseller," $14,302.11 ", $-   ,0, $-   ,0
Acct-000992,Media & Content,Internet Content & Software," $14,298.00 "," $1,093,408,501.84 ",1505," $1,001,913,609.63 ",1566
Acct-003084,Media & Content,Media," $14,293.00 ", $-   ,0, $-   ,0
Acct-001143,Finance,Finance - Other," $14,292.35 ", $-   ,0, $-   ,0
Acct-002177,Government,State/Local Government," $14,274.00 "," $54,114,024.00 ",350," $50,699,296.50 ",350
Acct-001399,Professional Services,Consulting / Other Professional Services," $14,120.10 ", $-   ,0, $-   ,0
Acct-000135,Telecommunications,VOIP/VSP," $14,073.00 "," $30,357,642.00 ",45," $30,357,642.00 ",45
Acct-001407,Other Industry,Retail," $14,068.57 ", $-   ,0, $-   ,0
Acct-000397,Telecommunications,Regional Carrier/ISP," $14,064.39 ", $-   ,0, $-   ,0
Acct-001272,IT Infrastructure,Cloud Service Provider," $13,988.00 "," $3,929,564,000.00 ",13158," $3,711,050,000.00 ",11000
Acct-001967,Research & Education,Higher Education," $13,950.00 "," $461,000.00 ",10," $1,057,393.86 ",10
Acct-001136,Media & Content,Internet Content & Software," $13,906.00 "," $16,806,821.75 ",50," $17,866,636.78 ",50
Acct-000205,Finance,Finance - Other," $13,871.43 ", $-   ,0, $-   ,0
Acct-000051,Finance,Asset Management / Hedge Fund," $13,865.21 ", $-   ,0, $-   ,0
Acct-001608,Media & Content,Cable & Satellite," $13,813.25 ", $-   ,0, $-   ,0
Acct-000724,Media & Content,Media," $13,702.00 "," $2,212,468,080.00 ",536," $1,612,889,230.32 ",536
Acct-001637,Professional Services,Consulting / Other Professional Services," $13,699.00 "," $76,894,800.00 ",1201," $175,899,064.11 ",268
Acct-002662,Professional Services,Legal," $13,640.92 ", $-   ,0, $-   ,0
Acct-000298,Telecommunications,Regional Carrier/ISP," $13,608.00 "," $12,404,327.07 ",37," $13,702,827.62 ",37
Acct-000360,Healthcare,Healthcare - Other," $13,608.00 "," $45,138,413.93 ",431," $45,138,413.93 ",431
Acct-001221,Energy & Manufacturing,Oil & Gas," $13,429.00 "," $8,227,238,016.69 ",4230," $7,973,746,403.26 ",5512
Acct-001635,Telecommunications,VOIP/VSP," $13,425.00 "," $199,942,154.00 ",867," $257,093,246.00 ",1247
Acct-001861,Other Industry,Retail," $13,345.00 "," $84,824.00 ",2," $84,824.00 ",2
Acct-000682,Telecommunications,Regional Carrier/ISP," $13,268.00 "," $19,179,925.28 ",33," $19,179,925.28 ",33
Acct-000508,IT Infrastructure,Colo/Hosting," $13,254.00 ", $-   ,0, $-   ,0
Acct-001510,Other Industry,Retail," $13,246.02 ", $-   ,0, $-   ,0
Acct-000181,,," $13,236.40 ", $-   ,0, $-   ,0
Acct-000525,Research & Education,Higher Education," $13,202.24 ", $-   ,0, $-   ,0
Acct-002053,Professional Services,Consulting / Other Professional Services," $13,160.00 "," $706,357.11 ",33," $706,357.11 ",33
Acct-002180,Healthcare,Healthcare - Other," $13,139.30 ", $-   ,0, $-   ,0
Acct-000932,Media & Content,Internet Content & Software," $13,127.00 ", $-   ,0, $-   ,0
Acct-000722,Media & Content,Internet Content & Software," $13,106.44 ", $-   ,0, $-   ,0
Acct-001650,Finance,Finance - Other," $13,038.00 "," $92,200,000.00 ",300," $92,200,000.00 ",300
Acct-003242,Media & Content,Internet Content & Software," $13,022.00 "," $317,283,250.00 ",1730," $317,283,250.00 ",1730
Acct-001062,Professional Services,Consulting / Other Professional Services," $12,975.00 ", $-   ,0, $-   ,0
Acct-000283,Energy & Manufacturing,Manufacturing - Other," $12,975.00 "," $2,820,971,058.04 ",13433," $3,933,399,733.90 ",13433
Acct-003303,Other Industry,Hospitality," $12,974.00 ", $-   ,0, $-   ,0
Acct-001876,Finance,Finance - Other," $12,955.26 ", $-   ,0, $-   ,0
Acct-000408,Professional Services,Commercial Systems Integrator," $12,735.76 ", $-   ,0, $-   ,0
Acct-001896,Telecommunications,PTT," $12,644.00 "," $1,809,623.23 ",6," $2,189,644.89 ",6
Acct-000692,Telecommunications,Regional Carrier/ISP," $12,629.61 ", $-   ,0, $-   ,0
Acct-001433,IT Infrastructure,Colo/Hosting," $12,553.00 ", $-   ,0, $-   ,0
Acct-001801,Other Industry,Real Estate / Construction," $12,527.00 ", $-   ,0, $-   ,0
Acct-001444,Telecommunications,National Carrier/ISP," $12,508.00 "," $781,944.51 ",15," $829,800.00 ",15
Acct-001436,Telecommunications,Regional Carrier/ISP," $12,459.00 ", $-   ,0, $-   ,0
Acct-000851,Media & Content,Internet Content & Software," $12,451.00 "," $1,710,567,238.00 ",12000," $1,796,888,566.00 ",13200
Acct-001638,Other Industry,Transportation," $12,404.00 "," $247,053,588.00 ",423," $249,755,970.00 ",888
Acct-002497,Media & Content,Cable & Satellite," $12,392.03 ", $-   ,0, $-   ,0
Acct-002404,Professional Services,Engineering," $12,342.00 "," $599,668,800.00 ",6400," $6,772,285,732.30 ",6400
Acct-002199,Media & Content,Internet Content & Software," $12,341.00 "," $2,028,400.00 ",19," $19,393,253.96 ",68
Acct-000512,Telecommunications,VOIP/VSP," $12,281.00 "," $4,097,145.80 ",26," $3,038,880.65 ",22
Acct-001145,Media & Content,Media," $12,261.00 ", $-   ,0, $-   ,0
